eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
1.97203E+11,1972,3,13,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,,,1,1,1,0,,,0,1,0,1,Assassination,,,,,14,Private Citizens & Property,69,Religion Identified,,"Patrick McCrory, 19, Catholic",233,Northern Ireland,,,,,,,,,,,,,,,,,Ulster Volunteer Force (UVF),,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Firearm,1,,,,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,CAIN,0,0,1,1,
1.97203E+11,1972,3,15,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Coalisland,54.536706,-6.70361,1,0,,,1,1,1,0,,,0,1,0,1,Assassination,,,,,3,Police,25,Police Security Forces/Officers,Royal Ulster Constabulary,"William Logam 23, Protestant",233,Northern Ireland,,,,,,,,,,,,,,,,,Irish Republican Army (IRA),,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Firearm,1,,,,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,CAIN,0,0,1,1,
1.97203E+11,1972,3,15,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,3,Bombing/Explosion,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Christopher Cracknell, 29 and Anthony Butcher, 24",216,Great Britain,,,,,,,,,,,,,,,,,Irish Republican Army (IRA),,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,15,Vehicle,,,,,,,,,,,,,Booby-trap bomb,2,,,,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,CAIN,0,0,1,1,
1.97203E+11,1972,3,16,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Lurgan,54.467967,-6.337967,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,69,Religion Identified,,"Carmel Knox, 20, Catholic",233,Northern Ireland,,,,,,,,,,,,,,,,,Irish Republican Extremists,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Bomb,1,,,,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,CAIN,0,0,1,1,
1.97203E+11,1972,3,16,,0,,217,United States,1,North America,New York,New York City,40.844782,-73.864827,1,0,The Bronx,"3/16/1972:  Four members of the Black Liberation Army robbed a Bankers Trust Company branch in the Bronx, New York, United States.  The perpetrators stole $180,000.  When police officers arrived on the scene a brief shoot-out occurred.  Police officer Robert Kirsh was wounded and the assailants were able to escape.",1,0,1,1,2,Other Crime Type,0,1,0,5,Hostage Taking (Barricade Incident),,,,,1,Business,3,Bank/Commerce,Bankers Trust Company,Bankers Trust Company branch at 2104 Crotona Parkway Bronx New York,217,United States,,,,,,,,,,,,,,,,,Black Liberation Army,,,,,,The Black Liberation Army stole money in order to support their armed struggle.  BLA members believed that armed struggle was the only means by which the Black Nationalist movement could break the psychological-class chains of 20th century enslavement.,1,,,0,4,-99,0,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Guns,0,0,0,1,1,0,1,3,Minor (likely < $1 million),118000,Money stolen and windshield of police car shattered,0,,,,,,,0,,,,,,,,,The incident occurred around 9:40 AM.  One of the perpetrators was Black Liberation Army member Twymon Ford Myers who would later be killed in a shoot-out with police.  It is unknown if the money stolen from the robbery was divvied up between the perpetrators or used to fund the causes of the Black Liberation Army.,"""Policeman Is Hurt In $90,000 Holdup Of Bank in Bronx,"" New York Times, March 17, 1972.","John T. McQuiston, ""Fugitive Black Militant Killed, 4 Wounded in Bronx Shootout,"" New York Times, November 15, 1973.","""Suspect in Kidnapping Sought In the Killing of Two Policemen,"" New York Times, December 29, 1972.",Hewitt Project,0,0,0,0,
1.97203E+11,1972,3,19,,0,,185,Spain,8,Western Europe,Barcelona,Gava,41.303168,2.003213,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,7,Facility/Infrastructure Attack,,,,,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,,"Sentenial post, 72nd artillery regiment",185,Spain,,,,,,,,,,,,,,,,,Catalan Liberation Front (FAC),,,,,,,0,,,0,,,,,,,,,,,,,8,Incendiary,,,,,,,,,,,,,,,Incendiary,,,,,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,
1.97203E+11,1972,3,20,,0,,185,Spain,8,Western Europe,Biscay,Urguizo,43.174382,-2.775258,1,0,,,1,1,1,0,,,0,1,0,2,Armed Assault,,,,,1,Business,5,Industrial/Textiles/Factory,,Facility containing explosives,185,Spain,,,,,,,,,,,,,,,,,Basque Fatherland and Freedom (ETA),,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,3,Handgun,,,,,,,,,,,,,Pistol,,,,,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,1,0,1,
1.97203E+11,1972,3,20,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,,seven civilians and police officers,233,Northern Ireland,,,,,,,,,,,,,,,,,Irish Republican Army (IRA),,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,15,Vehicle,,,,,,,,,,,,,Car bomb,7,,,,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,CAIN,0,0,1,1,
1.97203E+11,1972,3,20,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,54.99451,-7.319996,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,1,Assassination,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",British Army,"John Taylor, 19",216,Great Britain,,,,,,,,,,,,,,,,,Irish Republican Army (IRA),,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,Sniper,1,,,,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,CAIN,0,0,1,1,
1.97203E+11,1972,3,21,,1,4/10/72,11,Argentina,3,South America,Buenos Aires,Buenos Aires,-34.6037,-58.381503,1,0,,,1,1,1,0,,,0,1,0,6,Hostage Taking (Kidnapping),,,,,1,Business,4,Multinational Corporation,Fiat Argentina,"Oberdan Sallustro, executive",98,Italy,,,,,,,,,,,,,,,,,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),,,,,,,0,,,0,4,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,1,,,0,,,0,,,,,1,1,0,,,,Argentina,1,1000000,,0,,,4,Hostage(s) killed (not during rescue attempt),1,,,,,PGIS,0,1,1,1,
1.97203E+11,1972,3,23,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,2,Armed Assault,,,,,4,Military,29,Military Unit/Patrol/Convoy,British Army,Foot Patrol,216,Great Britain,,,,,,,,,,,,,,,,,Irish Republican Army (IRA),,,,,,,0,,,0,,,,,,,,,,,,,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Petroleum bomb,1,,,,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,CAIN,0,0,1,1,
1.97203E+11,1972,3,25,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,,,1,1,1,0,,,0,0,0,2,Armed Assault,,,,,17,Terrorists/Non-State Militia,93,Terrorist,IRA,"Patrick Campbell, 16, Catholic",233,Northern Ireland,,,,,,,,,,,,,,,,,Irish Republican Army (IRA),,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Firearm,1,,,,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,CAIN,0,0,1,1,
1.97203E+11,1972,3,26,,0,,209,Turkey,10,Middle East & North Africa,Ordu,Unye,41.127098,37.287124,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,6,Hostage Taking (Kidnapping),,,,,4,Military,37,NATO,NATO,NATO Radar technicians,422,International,,,,,,,,,,,,,,,,,Turkish People's Liberation Army,,,,,,,0,,,0,10,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,3,,,0,,,0,,,,,1,3,0,,,,Turkey,1,0,,,,,4,Hostage(s) killed (not during rescue attempt),3,,,,,PGIS,0,1,1,1,
1.97203E+11,1972,3,26,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,,,1,0,1,1,3,Intra/Inter-group Conflict,0,1,0,1,Assassination,,,,,17,Terrorists/Non-State Militia,93,Terrorist,Ulster Defence Association,"Ingram Beckett, 37, Protestant",233,Northern Ireland,,,,,,,,,,,,,,,,,Ulster Freedom Fighters (UFF),,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Firearm,1,,,,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,CAIN,0,0,1,1,
1.97203E+11,1972,3,27,,0,,160,Philippines,5,Southeast Asia,Pampanga,Mabalacat City,15.185916,120.54187,1,1,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,2,Armed Assault,,,,,4,Military,35,Military Transportation/Vehicle (excluding convoys),,U.S. Air Force truck,217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,2,Automatic Weapon,,,,,,,,,,,,,Automatic firearm,1,1,,1,1,,1,3,Minor (likely < $1 million),2000,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
1.97203E+11,1972,3,28,,0,,160,Philippines,5,Southeast Asia,Isabela,Unknown,17.092014,121.965256,4,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,2,Armed Assault,,,,,4,Military,31,Military Aircraft,,USAF Helicopter,217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,2,Automatic Weapon,,,,,,,,,,,,,Automatic firearm,0,,,0,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
1.97203E+11,1972,3,28,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Ballykelly,55.043617,-7.023927,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,3,Police,25,Police Security Forces/Officers,Royal Ulster Constabulary,"Joseph Forsythe, 57 and Robert McMichael, 27, Protestants",233,Northern Ireland,,,,,,,,,,,,,,,,,Irish Republican Army (IRA),,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,15,Vehicle,,,,,,,,,,,,,Car bomb,2,,,,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,CAIN,0,0,1,1,
1.97203E+11,1972,3,29,,0,,198,Sweden,8,Western Europe,Stockholm,Stockholm,59.332788,18.064488,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,18,Tourists,95,Tourism Travel Agency,,yougotoura (yugoslav travel agency),235,Yugoslavia,,,,,,,,,,,,,,,,,Croatian Nationalists,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,1,1,1,1,
1.97203E+11,1972,3,29,,0,,217,United States,1,North America,Florida,Miami,25.699073,-80.266978,1,1,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,73,Vehicles/Transportation,,soviet research ship,359,Soviet Union,,,,,,,,,,,,,,,,,Young Cuba,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,1,1,1,
1.97203E+11,1972,3,29,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,3,Bombing/Explosion,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Bernard Calladene, 39",216,Great Britain,,,,,,,,,,,,,,,,,Irish Republican Army (IRA),,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Booby-trap bomb,1,,,,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,CAIN,0,0,1,1,
1.97203E+11,1972,3,30,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,"Andersontown, Belfast",54.597269,-5.930109,1,0,,,1,1,1,0,,,0,1,0,2,Armed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Martha Crawford, 39, Catholic",216,Great Britain,14,Private Citizens & Property,69,Religion Identified,Not Applicable,"Martha Crawford, 39, Catholic",233,Northern Ireland,,,,,,,,,Irish Republican Army (IRA),,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Gunfight,1,,,,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,CAIN,0,0,1,1,
1.97204E+11,1972,4,4,,0,,38,Canada,1,North America,,Ottawa,45.42153,-75.697193,1,0,,,1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,7,Government (Diplomatic),46,Embassy/Consulate,,Cuban Embassy,51,Cuba,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
1.97204E+11,1972,4,4,,0,,38,Canada,1,North America,,Montreal,45.50867,-73.553992,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,2,Government (General),21,Government Building/Facility/Office,,Cuban Trade Office,51,Cuba,,,,,,,,,,,,,,,,,Young Cuba,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,1,,,7,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,1,1,1,1,
1.97204E+11,1972,4,5,,0,,217,United States,1,North America,California,Los Angeles,34.101587,-118.333321,1,0,Hollywood Blvd.,"4/5/1972: The Jewish Defense League bombed a display stand advertising a Soviet art exhibit at Barnsdall Park in Los Angeles, California, United States.  There were no casualties but a wooden pavilion adjacent to the display stand was demolished.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,81,Museum/Cultural Center/Cultural House,Soviet art exhibit on display in the United States,Advertisement for Soviet art exhibit at Barnsdall Park in Los Angeles California,359,Soviet Union,14,Private Citizens & Property,79,"Public Area (garden, parking lot, garage, beach, public building, camp)",United States park displaying Soviet art exhibit,Advertisement for Soviet art exhibit at Barnsdall Park in Los Angeles California,217,United States,,,,,,,,,Jewish Defense League (JDL),,,,,,Protesting Soviet mistreatment of Jews,0,,,0,-99,-99,1,2,Call (post-incident),,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Bomb,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Wooden pavilion destroyed,0,,,,,,,0,,,,,,,,,"It was reported that the blast caused less than $1,000 in damages.  The Jewish Defense League had picketed the Soviet art display for several days before the bombing.  Around thirty minutes after the attack, the Associated Press received a call reporting the incident.  The caller shouted ""never again"" before hanging up.  ""Never again"" was a slogan of the JDL.  The JDL detonated a bomb in the Los Angeles area two weeks later (197204180001).","""Shed Blasted by Protesters of Russ Show,"" Spokane Daily Chronicle, April 6, 1972.","""Bomb Blast Wrecks Building,"" The Bulletin, April 19, 1972.","""Bomb Russ Art Site,"" Modesto Bee, April 5, 1972.",Hewitt Project,0,1,1,1,
1.97204E+11,1972,4,7,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,1,Assassination,,,,,4,Military,29,Military Unit/Patrol/Convoy,British Army,Foot Patrol,216,Great Britain,,,,,,,,,,,,,,,,,Irish Republican Army (IRA),,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,Sniper,1,,,,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,CAIN,0,0,1,1,
1.97204E+11,1972,4,10,,0,,11,Argentina,3,South America,Santa Fe,Rosario,-32.951052,-60.666365,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,1,Assassination,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Argentine Army,"Commander Second Army Corps, Rosario- General Juan Carlos Sanchez",11,Argentina,,,,,,,,,,,,,,,,,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,2,Automatic Weapon,,,,,,,,,,,,,Automatic firearm,1,,,0,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,
1.97204E+11,1972,4,10,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Rosemount,55.007207,-7.341944,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,3,Bombing/Explosion,,,,,4,Military,29,Military Unit/Patrol/Convoy,British Army,Foot Patrol,216,Great Britain,,,,,,,,,,,,,,,,,Official Irish Republican Army (OIRA),,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Bomb,1,,,,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,CAIN,0,0,1,1,
1.97204E+11,1972,4,11,,0,,362,West Germany (FRG),8,Western Europe,Berlin,West Berlin,52.505803,13.331741,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,2,Armed Assault,,,,,4,Military,35,Military Transportation/Vehicle (excluding convoys),,U.S. military members vehicle,217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,8,Incendiary,,,,,,,,,,,,,,,Incendiary,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
1.97204E+11,1972,4,11,,0,,362,West Germany (FRG),8,Western Europe,Unknown,Unknown,,,5,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,0,0,7,Facility/Infrastructure Attack,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",,Officers Club,217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,Arson,,,,,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
1.97204E+11,1972,4,13,,0,,185,Spain,8,Western Europe,Barcelona,Talamanca,41.735443,1.977921,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,80,Memorial/Cemetery/Monument,,monument of the fallen,185,Spain,,,,,,,,,,,,,,,,,Catalan Liberation Front (FAC),,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,28,Dynamite/TNT,,,,,,,,,,,,,Dynamite,,,,,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,
1.97204E+11,1972,4,13,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Ballymoney,55.070718,-6.514895,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,69,Religion Identified,,"Elizabeth McAuley, 64, Protestant",233,Northern Ireland,,,,,,,,,,,,,,,,,Irish Republican Army (IRA),,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,15,Vehicle,,,,,,,,,,,,,Car bomb,1,,,,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,CAIN,0,0,1,1,
1.97204E+11,1972,4,15,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,1,Assassination,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Nicholas Hull, 22",216,Great Britain,,,,,,,,,,,,,,,,,Official Irish Republican Army (OIRA),,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,Sniper,1,,,,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,CAIN,0,0,1,1,
1.97204E+11,1972,4,15,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,,,1,1,1,0,,,0,1,0,1,Assassination,,,,,14,Private Citizens & Property,69,Religion Identified,,"Sean McConville, 17, Catholic",233,Northern Ireland,,,,,,,,,,,,,,,,,Ulster Volunteer Force (UVF),,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Firearm,1,,,,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,CAIN,0,0,1,1,
1.97204E+11,1972,4,16,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,54.99451,-7.319996,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,1,Assassination,,,,,4,Military,29,Military Unit/Patrol/Convoy,British Army,Foot Patrol,216,Great Britain,,,,,,,,,,,,,,,,,Official Irish Republican Army (OIRA),,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,Sniper,1,,,,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,CAIN,0,0,1,1,
1.97204E+11,1972,4,16,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,54.99451,-7.319996,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,2,Armed Assault,,,,,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,British Army Base,"Martin Robinson, 21",216,Great Britain,,,,,,,,,,,,,,,,,Official Irish Republican Army (OIRA),,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Firearm,1,,,,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,CAIN,0,0,1,1,
1.97204E+11,1972,4,18,,0,,217,United States,1,North America,California,Bellflower,33.889332,-118.125305,1,0,1600 Bellflower Blvd.,"4/18/1972: The Jewish Defense League detonated a bomb in Bellflower, California, United States.  Two people were injured and the bomb caused an estimated $250,000 in damages to surrounding buildings.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,7,Retail/Grocery/Bakery,Unknown business in Bellflower California,"Building containing Castlehead Escrow, Bruce Mulhearn Realty Office, and Lana's Kopy Kat Print Office.",217,United States,,,,,,,,,,,,,,,,,Jewish Defense League (JDL),,,,,,Protest business prejudiced against Jews,0,,,0,-99,-99,1,2,Call (post-incident),,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive device thrown from car,0,0,0,1,1,0,1,3,Minor (likely < $1 million),250000,"Building containing realty office, print shop and escrow office destroyed.  Beauty shop extensively damaged.  Windows shattered in surrounding buildings.",0,,,,,,,0,,,,,,,,,"The bomb detonated around 11:40 PM. Two long haired youths in a car was were witnessed throwing the bomb in front of the Escrow Office.  The bomb was burning in a paper bag before it exploded.  The power of the device was equivalent to six sticks of dynamite.  Minutes after the bombing, the United Press International received a call claiming that the bomb was for ""Jesus freaks and prejudiced against Jews.""  The caller was unclear about the target of the attack but shouted ""never again"" before hanging up.  ""Never again"" was a slogan of the Jewish Defense League.  The JDL detonated a bomb in the Los Angeles area two weeks earlier (197204050001).","""Bomb Destroys 4 Offices In Suburban Los Angeles,"" New York Times, April 20, 1972.","David Rosenzweig, ""Bombing in Bellflower May Be Linked to Housing Controversy,"" Los Angeles Times, April 20, 1972.","""Bomb Blast Wrecks Building,"" The Bulletin, April 19, 1972.",Hewitt Project,0,0,0,0,
1.97204E+11,1972,4,19,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Newtownhamilton,54.192934,-6.576051,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,6,Hostage Taking (Kidnapping),,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Ulster Defence Regiment,"James Elliot, 33, Protestant",233,Northern Ireland,,,,,,,,,,,,,,,,,Irish Republican Army (IRA),,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Firearm,1,,,,,,0,,,,,0,,,,,,Northern Ireland,0,,,,,,4,Hostage(s) killed (not during rescue attempt),,,,,,CAIN,0,0,1,1,
1.97204E+11,1972,4,19,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,,,1,1,1,0,,,0,1,0,1,Assassination,,,,,14,Private Citizens & Property,69,Religion Identified,,"Martin Owens, 22, Catholic",233,Northern Ireland,,,,,,,,,,,,,,,,,Irish Republican Army (IRA),,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Firearm,1,,,,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,CAIN,0,0,1,1,
